,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,ra,dec,tfopwg_disp
1590,1.4492052,1.104,1200.0,6.15666,551.777,1350.0,6004.9,4.39,1.12,12.1323,50.826623,-40.453518,APC
1591,7.7119328,3.994,3430.0,10.9933,305.979,1165.0,6458.0,4.03,1.83,10.1757,230.230416,-33.69246,PC
1592,2.994263,6.9172309,1120.6492357,11.5655979,619.5809037,1272.4603411,4784.0,4.33,3.22859,11.2347,290.619895,60.853904,CP
1593,22.6539607,3.468,11530.0,12.2765,13.8485,537.0,5523.0,4.33,1.12,11.7024,81.344582,-34.668249,CP
1594,9.7728388,6.74,1330.0,8.8917,401.97,1247.0,5636.8,3.66,2.44,11.9507,105.762026,-55.368285,PC
1595,2.8392809,1.5658959,35948.028328,11.1582057,45.5594334,662.6196767,3642.0,4.438,0.54933,14.6253,2.568852,-26.282408,PC
1596,1.6471574,1.033,3880.0,6.06894,362.237,1215.0,5027.0,4.64,0.73,11.8012,42.261441,-16.557655,FP
1597,0.87741,0.472,12050.0,8.59148,26.3008,630.0,3495.0,4.64,0.62,12.722,306.843521,-53.220653,PC
1598,3.9471567,1.699,1880.0,3.86968,71.367,809.0,4794.0,4.47,0.84,11.1581,86.458859,-32.947641,FP
1599,3.2553185,2.061,1920.0,6.72917,362.749,1215.0,5927.0,4.28,1.25,12.2539,58.616173,-31.344895,PC
1600,8.3129806,4.171,2680.0,10.7065,237.935,1094.0,5929.0,3.86,2.03,12.2766,257.715033,-75.729992,PC
1601,1.0526157,1.5288415,358.5076064,1.4203085,706.2654804,1314.8062038,4621.0,4.54,0.758575,10.3759,43.884794,-34.977975,PC
1602,42.1289893,4.6130523,961.655867,2.3404732,5.1588515,384.3775426,4621.0,4.54,0.758575,10.3759,43.884794,-34.977975,PC
1603,3.3311975,3.705,12390.0,14.877,1437.43,1715.0,6605.0,4.33,1.33,11.5584,88.092907,-13.372469,PC
1604,1.1736318,1.397,1470.0,8.1147,1505.41,1735.0,6033.7,3.92,1.93,11.6751,52.487605,-0.904217,APC
1605,1.2043785,1.047,1170.0,4.985,1124.6,1613.0,6595.0,4.3,1.38,11.6884,86.254678,-13.326617,PC
