,orbital_period,transit_duration,transit_depth,planet_radius,insolation_flux,equilibrium_temperature,stellar_teff,stellar_logg,stellar_radius,stellar_mag,ra,dec,target
8935,2.7754004,3.142,8510.0,15.2778,966.571,1553.0,5905.0,4.05,1.62,12.1504,318.600471,66.404803,CANDIDATE
8936,3.4391152,3.3615891,12391.7493402,13.6350253,688.3062667,1306.3669377,4955.0,4.4,1.21438,13.3304,111.442356,-77.776659,CANDIDATE
8937,5.660669429,4.6483,737.8,3.24,365.53,1115.0,5746.0,4.266,1.173,13.494,292.3215,43.881168,CONFIRMED
8938,89.7398137,3.26371,81096.0,38.01,4.1,363.0,5777.0,4.608,0.747,14.294,296.86246,46.54549,FALSE POSITIVE
8939,275.07365,3.37,228.9,1.86,2.0,303.0,5604.0,4.226,1.187,10.15,291.03369,36.771042,FALSE POSITIVE
8940,19.8507621,2.249,1766.0,8.778562,48.5274864,673.1575152,9488.0,4.07548,2.35947,9.8532,150.433636,-59.850029,CANDIDATE
8941,8.7963166,4.696,96.5,1.36,142.92,882.0,5780.0,4.438,1.0,13.641,283.83884,40.421974,CANDIDATE
8942,91.649983,10.294,193.6,2.27,24.57,568.0,6705.0,4.145,1.608,12.964,294.93198,39.81242,CANDIDATE
8943,1.1979996,0.9682003,1150.3177297,1.2107339,58.2602237,704.6326883,3332.0,4.91528,0.354529,11.1972,120.593607,3.337163,CONFIRMED
8944,0.6203033,1.031,1390.0,7.82821,10295.4,2806.0,6294.0,4.03,1.78,11.9245,171.711327,37.705235,FALSE POSITIVE
8945,30.1329298,5.172,1015.8,3.14,19.55,536.0,5527.0,4.488,0.866,15.223,296.56622,44.105862,CONFIRMED
8946,8.6243051,5.584,9216.0,16.2074,3083.68,2076.0,7944.0,4.39,1.47,12.363,211.969321,-60.620203,CANDIDATE
8947,10.18670759,7.498,261.2,0.95,12.29,477.0,3995.0,4.694,0.555,14.651,295.11502,45.96648,FALSE POSITIVE
8948,15.7373186,3.993,10720.0,12.2054,263.429,1122.0,6394.0,4.43,1.14,11.7622,175.879369,-7.296091,CANDIDATE
8949,88.91323139,2.92,421.1,2.39,141.6,878.0,5767.0,4.438,1.0,12.981,291.36188,49.02198,FALSE POSITIVE
8950,0.907943645,1.9144,1028.9,49.37,5715.61,2219.0,6434.0,4.354,1.166,13.819,297.36047,40.056141,FALSE POSITIVE
8951,0.8409343,1.0153193,526.8011816,1.4132824,331.5658841,1088.3340306,3830.0,4.64404,0.608498,11.9212,128.506585,-66.768549,CANDIDATE
8952,7.814839231,3.0122,2010.3,5.33,156.74,903.0,5887.0,4.499,0.931,15.452,294.02725,41.675968,FALSE POSITIVE
8953,15.4032765,3.246,253.0,1.32,36.41,626.0,5272.0,4.508,0.799,15.555,291.90961,47.174339,FALSE POSITIVE
8954,1.673662758,2.3135,316.4,23.42,2106.67,1729.0,6444.0,4.433,1.053,14.576,298.14502,40.69809,FALSE POSITIVE
8955,1.311842968,1.7876,245.1,1.43,1410.6,1562.0,5569.0,4.474,0.927,13.597,290.67313,38.69101,CONFIRMED
8956,10.306982793,11.4277,341790.0,81.21,200.8,960.0,5912.0,4.225,1.217,13.545,292.26981,37.6982,FALSE POSITIVE
8957,3.13295351,2.2207,435.2,1.39,181.84,937.0,5016.0,4.641,0.679,15.644,290.9343,47.357601,CONFIRMED
8958,4.0802864,14.1230558,317.9766458,1.4099651,0.1156456,148.7311702,5106.0,4.62161,0.750716,8.7475,261.281796,85.115518,CANDIDATE
8959,0.764174368,2.346,100.2,1.18,5972.52,2241.0,6321.0,4.417,1.125,14.361,293.07663,46.21801,FALSE POSITIVE
8960,3.2493152,1.849,9260.0,10.3587,173.46,1011.0,5371.2,4.37,1.04,13.239,167.29495,49.955757,CANDIDATE
8961,2.0364271,1.847,268.0,1.60247,614.718,1387.0,5553.0,4.48827,0.93,9.73378,118.70305,77.299495,CANDIDATE
8962,0.938466959,1.3015,217.4,1.58,2919.17,1876.0,5499.0,4.323,1.087,13.757,284.73145,49.533192,CONFIRMED
8963,176.17377,14.58,349.9,1.76,2.57,323.0,5957.0,4.506,0.937,15.601,290.57632,41.546188,FALSE POSITIVE
8964,13.2298203,3.566,157.8,1.5,126.84,856.0,6049.0,4.353,1.176,14.818,292.7131,38.358212,CANDIDATE
8965,4.98792404,1.618,346.2,0.73,13.07,485.0,3606.0,4.859,0.395,15.555,293.2811,38.082241,CANDIDATE
8966,3.25058201,2.2537,218.4,1.19,202.09,962.0,5001.0,4.582,0.76,14.194,285.99988,40.919319,CONFIRMED
8967,7.13969705,3.981,512.9,2.24,205.23,965.0,6014.0,4.486,0.993,15.906,295.92609,45.383862,CONFIRMED
8968,570.01886,3.52,428.5,1.62,0.31,190.0,5496.0,4.579,0.79,14.441,292.79358,45.687859,FALSE POSITIVE
8969,28.2682167,1.355,197.0,1.22,18.12,526.0,5496.0,4.564,0.838,14.927,292.64594,41.353039,CANDIDATE
8970,13.697384,4.783848,1061.94658,4.211945,96.8938034,800.1911623,5837.0,4.37713,1.10089,10.966,64.52165,-53.80127,FALSE POSITIVE
8971,9.59993246,4.3206,271.2,2.08,206.91,967.0,5865.0,4.266,1.272,13.598,290.23764,41.331379,CONFIRMED
8972,0.938905082,5.00453,358890.0,205.64,79148.54,4281.0,8615.0,3.784,3.003,13.613,292.21927,40.89333,FALSE POSITIVE
8973,9.312167,4.867,15226.0,10.5098,118.249,918.0,3979.0,4.33,1.23369,12.6864,321.24506,57.666632,CANDIDATE
8974,27.0779813,138.54,347.5,2.03,29.98,597.0,5906.0,4.467,0.85,14.17,285.91354,45.206799,FALSE POSITIVE
8975,8.17242644,3.902,864.3,3.29,127.95,858.0,5705.0,4.499,0.905,15.24,293.87363,38.922482,CANDIDATE
